what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.ContentOutline",1573559986411
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1573560001634
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1573560006777
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1573560083910
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1573560091893
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1573560132425
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1573560137454
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1573560141420
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1573560176073
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1573560279072
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1573560388928
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1573560464437
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1573560476897
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1573560492645
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1573560496781
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1573560497524
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1573560554981
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1573560564461
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1573560620872
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1573560622969
started,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1573560651545
started,bundle,org.eclipse.equinox.p2.ui,2.0.0.v20100518,"org.eclipse.equinox.p2.ui",1573560651553
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk.update",1573560651684
started,bundle,org.eclipse.ecf.filetransfer,4.0.0.v20100529-0735,"org.eclipse.ecf.filetransfer",1573560651723
started,bundle,org.eclipse.ecf.identity,3.1.0.v20100529-0735,"org.eclipse.ecf.identity",1573560651801
started,bundle,org.eclipse.ecf,3.1.0.v20100529-0735,"org.eclipse.ecf",1573560651877
started,bundle,org.eclipse.ecf.provider.filetransfer.httpclient,4.0.0.v20100529-0735,"org.eclipse.ecf.provider.filetransfer.httpclient",1573560651910
started,bundle,org.eclipse.ecf.provider.filetransfer,3.1.0.v20100529-0735,"org.eclipse.ecf.provider.filetransfer",1573560651916
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1573560652128
started,bundle,org.eclipse.equinox.p2.extensionlocation,1.2.0.v20100518,"org.eclipse.equinox.p2.extensionlocation",1573560678496
started,bundle,org.eclipse.equinox.p2.updatesite,1.0.201.R36x_v20100823,"org.eclipse.equinox.p2.updatesite",1573560683529
started,bundle,org.eclipse.equinox.p2.publisher,1.1.2.v20100824-2220,"org.eclipse.equinox.p2.publisher",1573560683533
started,bundle,org.eclipse.equinox.p2.director,2.0.2.R36x_v20100823,"org.eclipse.equinox.p2.director",1573560755533
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.100.v20100503,"org.eclipse.equinox.p2.garbagecollector",1573560755564
started,bundle,org.eclipse.equinox.p2.artifact.repository,1.1.1.R36x_v20100901,"org.eclipse.equinox.p2.artifact.repository",1573560755614
started,bundle,org.eclipse.equinox.p2.touchpoint.eclipse,2.0.2.R36x_v20100823,"org.eclipse.equinox.p2.touchpoint.eclipse",1573560755693
started,bundle,org.eclipse.equinox.frameworkadmin,2.0.0.v20100503,"org.eclipse.equinox.frameworkadmin",1573560768426
started,bundle,org.eclipse.equinox.simpleconfigurator.manipulator,2.0.0.v20100503,"org.eclipse.equinox.simpleconfigurator.manipulator",1573560768473
started,bundle,org.eclipse.equinox.p2.touchpoint.natives,1.0.200.v20100503a,"org.eclipse.equinox.p2.touchpoint.natives",1573560768959
error,log,,,"An internal error occurred during: ""Install download0"".",1573560909064
error,log,,,"An internal error occurred during: ""Install download3"".",1573561031999
error,log,,,"An internal error occurred during: ""Install download2"".",1573561037293
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1573561501071
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1573561504323
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1573561521341
